"","date","is_from_me"
"1",2018-12-11 22:40:56,1
"2",2018-12-11 23:55:27,0
"3",2018-12-12 01:04:34,1
"4",2018-12-12 01:33:47,0
"5",2018-12-12 01:48:43,0
"6",2018-12-12 04:52:26,1
"7",2018-12-12 04:57:58,0
"8",2018-12-12 06:40:19,1
"9",2018-12-12 06:53:44,0
"10",2018-12-12 06:55:26,1
"11",2018-12-12 17:25:43,0
"12",2018-12-12 17:30:13,0
"13",2018-12-12 20:40:26,0
"14",2018-12-12 20:43:25,1
"15",2018-12-12 21:40:05,0
"16",2018-12-13 00:30:48,1
"17",2018-12-13 01:15:42,1
"18",2018-12-13 02:15:58,0
"19",2018-12-13 03:02:16,1
"20",2018-12-13 03:07:06,0
"21",2018-12-13 03:09:09,1
"22",2018-12-13 03:56:11,0
"23",2018-12-13 04:04:56,1
"24",2018-12-13 04:21:09,1
"25",2018-12-13 04:45:41,0
"26",2018-12-13 04:47:08,1
"27",2018-12-13 05:21:23,0
"28",2018-12-13 05:45:20,0
"29",2018-12-13 05:46:45,1
"30",2018-12-13 05:54:31,0
"31",2018-12-13 06:48:33,0
"32",2018-12-13 17:04:36,1
"33",2018-12-13 19:47:04,0
"34",2018-12-13 19:48:25,1
"35",2018-12-13 19:51:18,1
"36",2018-12-13 19:55:34,1
"37",2018-12-13 20:05:10,1
"38",2018-12-13 21:16:54,1
"39",2018-12-13 22:54:08,1
"40",2018-12-13 23:01:25,1
"41",2018-12-13 23:46:01,1
"42",2018-12-14 00:41:40,1
"43",2018-12-14 00:59:37,0
"44",2018-12-14 01:06:38,0
"45",2018-12-14 01:53:44,0
"46",2018-12-14 01:57:22,1
"47",2018-12-14 03:54:06,0
"48",2018-12-14 04:34:42,0
"49",2018-12-14 04:37:46,0
"50",2018-12-14 04:39:06,1
"51",2018-12-14 04:51:16,1
"52",2018-12-14 04:53:06,1
"53",2018-12-14 05:03:09,1
"54",2018-12-14 05:17:18,1
"55",2018-12-14 05:29:00,0
"56",2018-12-14 06:45:47,1
"57",2018-12-14 07:06:46,0
"58",2018-12-14 14:07:53,1
"59",2018-12-14 15:01:23,0
"60",2018-12-14 15:01:55,1
"61",2018-12-14 19:46:28,1
"62",2018-12-14 22:41:48,1
"63",2018-12-14 23:10:46,1
"64",2018-12-14 23:28:45,1
"65",2018-12-14 23:40:54,1
"66",2018-12-14 23:59:02,1
"67",2018-12-15 01:54:55,1
"68",2018-12-15 04:03:55,0
"69",2018-12-15 04:19:26,1
"70",2018-12-15 04:52:27,1
"71",2018-12-15 05:15:36,0
"72",2018-12-15 05:19:03,1
"73",2018-12-15 05:45:04,1
"74",2018-12-15 05:51:33,1
"75",2018-12-15 06:24:14,0
"76",2018-12-15 06:25:19,1
"77",2018-12-15 16:27:30,1
"78",2018-12-15 17:00:18,0
"79",2018-12-15 17:24:03,1
"80",2018-12-15 17:25:09,0
"81",2018-12-15 21:46:32,1
"82",2018-12-15 21:49:18,0
"83",2018-12-15 22:04:55,0
"84",2018-12-15 22:07:29,1
"85",2018-12-15 22:51:33,0
"86",2018-12-15 23:51:47,1
"87",2018-12-16 01:15:28,1
"88",2018-12-16 01:21:25,0
"89",2018-12-16 01:33:54,1
"90",2018-12-16 02:23:25,1
"91",2018-12-16 02:40:05,1
"92",2018-12-16 04:32:58,1
"93",2018-12-16 05:09:44,1
"94",2018-12-16 05:10:28,0
"95",2018-12-16 05:11:11,0
"96",2018-12-16 05:20:22,0
"97",2018-12-16 06:07:31,1
"98",2018-12-16 07:15:11,1
"99",2018-12-16 07:35:10,0
"100",2018-12-16 15:55:41,1
"101",2018-12-16 17:31:55,1
"102",2018-12-16 17:46:52,0
"103",2018-12-16 20:06:46,0
"104",2018-12-16 20:38:42,1
"105",2018-12-16 21:45:46,0
"106",2018-12-16 21:45:47,0
"107",2018-12-16 21:47:04,0
"108",2018-12-16 22:00:03,0
"109",2018-12-16 22:09:23,1
"110",2018-12-16 23:02:12,0
"111",2018-12-16 23:02:56,0
"112",2018-12-16 23:06:52,1
"113",2018-12-16 23:47:22,0
"114",2018-12-16 23:47:34,1
"115",2018-12-16 23:47:36,0
"116",2018-12-17 00:01:09,1
"117",2018-12-17 00:04:05,0
"118",2018-12-17 00:05:54,0
"119",2018-12-17 00:14:38,0
"120",2018-12-17 02:44:23,0
"121",2018-12-17 02:45:04,0
"122",2018-12-17 02:54:25,0
"123",2018-12-17 03:12:32,0
"124",2018-12-17 03:54:59,1
"125",2018-12-17 15:19:59,1
"126",2018-12-18 01:54:00,1
"127",2018-12-18 01:56:34,0
"128",2018-12-18 05:09:55,0
"129",2018-12-18 05:11:13,1
"130",2018-12-18 05:14:35,1
"131",2018-12-18 05:20:12,0
"132",2018-12-18 06:34:46,1
"133",2018-12-18 06:46:11,0
"134",2018-12-18 16:46:21,1
"135",2018-12-18 19:58:57,1
"136",2018-12-18 21:50:04,0
"137",2018-12-18 21:57:42,1
"138",2018-12-18 22:15:44,0
"139",2018-12-18 22:17:56,1
"140",2018-12-18 22:50:45,1
"141",2018-12-18 22:53:02,1
"142",2018-12-18 23:09:33,1
"143",2018-12-18 23:10:21,0
"144",2018-12-18 23:48:30,1
"145",2018-12-18 23:59:35,1
"146",2018-12-19 00:39:05,1
"147",2018-12-19 00:44:56,1
"148",2018-12-19 01:29:16,1
"149",2018-12-19 02:01:17,1
"150",2018-12-19 03:54:11,1
"151",2018-12-19 04:13:45,0
"152",2018-12-19 04:46:35,1
"153",2018-12-19 05:15:37,1
"154",2018-12-19 06:08:55,1
"155",2018-12-19 06:35:06,1
"156",2018-12-19 06:51:36,1
"157",2018-12-19 06:55:52,1
"158",2018-12-19 06:57:00,1
"159",2018-12-19 07:00:43,0
"160",2018-12-19 07:01:43,0
"161",2018-12-19 07:04:47,1
"162",2018-12-19 07:21:49,0
"163",2018-12-19 16:10:38,1
"164",2018-12-19 16:29:56,1
"165",2018-12-19 17:06:37,1
"166",2018-12-19 17:22:53,0
"167",2018-12-20 02:12:21,1
"168",2018-12-20 02:13:33,0
