"","date","is_from_me"
"1",2018-04-19 09:07:00,"1"
"2",2018-04-19 09:07:06,"1"
"3",2018-04-19 09:15:14,"0"
"4",2018-04-19 09:16:02,"1"
"5",2018-04-19 09:44:49,"0"
"6",2018-04-19 09:45:56,"1"
"7",2018-04-19 09:47:16,"0"
"8",2018-04-19 09:47:47,"1"
"9",2018-04-19 10:49:36,"0"
"10",2018-04-19 10:50:14,"1"
"11",2018-04-19 10:51:21,"0"
"12",2018-04-19 10:51:51,"1"
"13",2018-04-19 10:56:34,"0"
"14",2018-04-19 10:57:02,"1"
"15",2018-04-19 10:57:44,"0"
"16",2018-04-19 10:58:13,"1"
"17",2018-04-19 14:42:02,"0"
"18",2018-04-19 14:43:12,"1"
"19",2018-04-19 14:43:18,"1"
"20",2018-04-19 14:44:25,"0"
"21",2018-04-19 14:44:25,"0"
"22",2018-04-19 14:45:26,"1"
"23",2018-04-19 14:45:32,"1"
"24",2018-04-19 14:50:16,"1"
"25",2018-04-19 16:21:44,"0"
"26",2018-04-19 16:21:44,"0"
"27",2018-04-19 16:22:02,"0"
"28",2018-04-19 16:23:06,"1"
"29",2018-04-19 16:23:12,"1"
"30",2018-04-19 16:23:53,"1"
"31",2018-04-19 16:24:11,"0"
"32",2018-04-19 16:24:32,"0"
"33",2018-04-19 16:26:07,"1"
"34",2018-04-19 16:26:23,"1"
"35",2018-04-19 16:35:00,"0"
"36",2018-04-19 16:35:16,"0"
"37",2018-04-19 16:47:42,"1"
"38",2018-04-19 16:47:58,"1"
"39",2018-04-19 16:48:12,"1"
"40",2018-04-19 21:59:18,"0"
"41",2018-04-19 21:59:53,"1"
"42",2018-04-19 21:59:55,"0"
"43",2018-04-19 22:00:44,"1"
"44",2018-04-19 22:25:13,"0"
"45",2018-04-19 22:25:46,"1"
"46",2018-04-19 22:31:08,"0"
"47",2018-04-19 22:31:54,"1"
"48",2018-04-19 22:38:51,"0"
"49",2018-04-19 22:39:25,"1"
"50",2018-04-19 22:43:10,"0"
"51",2018-04-19 22:44:02,"1"
"52",2018-04-19 22:45:10,"0"
"53",2018-04-19 22:47:27,"1"
"54",2018-04-19 22:48:02,"1"
"55",2018-04-19 22:51:28,"0"
"56",2018-04-19 22:51:28,"0"
"57",2018-04-19 22:52:16,"1"
"58",2018-04-19 22:52:23,"1"
"59",2018-04-19 22:52:39,"0"
"60",2018-04-19 22:53:18,"1"
"61",2018-04-19 22:54:55,"0"
"62",2018-04-19 22:54:55,"0"
"63",2018-04-19 22:55:30,"1"
"64",2018-04-19 22:55:36,"1"
"65",2018-04-19 22:55:54,"0"
"66",2018-04-19 22:56:23,"1"
"67",2018-04-19 22:58:15,"0"
"68",2018-04-19 22:58:49,"1"
"69",2018-04-19 22:59:30,"0"
"70",2018-04-19 23:00:15,"1"
"71",2018-04-19 23:01:09,"0"
"72",2018-04-19 23:02:46,"1"
"73",2018-04-19 23:06:54,"0"
"74",2018-04-19 23:06:55,"0"
"75",2018-04-19 23:07:54,"1"
"76",2018-04-19 23:08:01,"1"
"77",2018-04-19 23:09:08,"0"
"78",2018-04-19 23:09:08,"0"
"79",2018-04-19 23:09:39,"1"
"80",2018-04-19 23:09:46,"1"
"81",2018-04-19 23:11:05,"0"
"82",2018-04-19 23:12:17,"1"
"83",2018-04-19 23:21:21,"0"
"84",2018-04-19 23:21:24,"0"
"85",2018-04-19 23:22:31,"1"
"86",2018-04-19 23:24:20,"1"
"87",2018-04-19 23:24:37,"1"
"88",2018-04-19 23:28:54,"0"
"89",2018-04-19 23:29:14,"0"
"90",2018-04-19 23:29:15,"0"
"91",2018-04-19 23:29:25,"1"
"92",2018-04-19 23:29:41,"1"
"93",2018-04-19 23:29:52,"1"
"94",2018-04-19 23:30:06,"1"
"95",2018-04-19 23:31:58,"0"
"96",2018-04-19 23:39:29,"1"
"97",2018-04-19 23:39:56,"1"
"98",2018-04-19 23:40:08,"1"
"99",2018-04-19 23:44:56,"0"
"100",2018-04-19 23:45:47,"1"
"101",2018-04-19 23:50:44,"0"
"102",2018-04-19 23:51:55,"1"
"103",2018-04-19 23:53:42,"0"
"104",2018-04-19 23:54:31,"1"
"105",2018-04-19 23:54:51,"1"
"106",2018-04-19 23:57:05,"0"
"107",2018-04-19 23:57:39,"1"
"108",2018-04-20 16:34:38,"0"
"109",2018-04-20 16:38:39,"1"
"110",2018-04-20 16:38:40,"1"
"111",2018-04-20 16:40:14,"1"
"112",2018-04-20 21:19:11,"0"
