"","date","is_from_me"
"1","2018-12-14 19:59:58 UTC",0
"2","2018-12-14 20:00:13 UTC",1
"3","2018-12-14 22:41:48 UTC",1
"4","2018-12-14 23:10:22 UTC",0
"5","2018-12-14 23:10:46 UTC",1
"6","2018-12-14 23:10:57 UTC",1
"7","2018-12-14 23:11:44 UTC",1
"8","2018-12-14 23:27:09 UTC",0
"9","2018-12-14 23:28:02 UTC",1
"10","2018-12-14 23:28:46 UTC",1
"11","2018-12-14 23:40:54 UTC",1
"12","2018-12-14 23:59:02 UTC",1
"13","2018-12-15 00:45:54 UTC",0
"14","2018-12-15 00:46:22 UTC",1
"15","2018-12-15 00:51:41 UTC",1
"16","2018-12-15 01:54:56 UTC",1
"17","2018-12-15 04:18:15 UTC",0
"18","2018-12-15 04:19:27 UTC",1
"19","2018-12-15 04:20:29 UTC",1
"20","2018-12-15 04:46:27 UTC",0
"21","2018-12-15 04:47:30 UTC",1
"22","2018-12-15 04:52:28 UTC",1
"23","2018-12-15 05:04:19 UTC",0
"24","2018-12-15 05:07:14 UTC",1
"25","2018-12-15 05:12:26 UTC",0
"26","2018-12-15 05:12:51 UTC",1
"27","2018-12-15 05:17:49 UTC",0
"28","2018-12-15 05:17:53 UTC",0
"29","2018-12-15 05:18:15 UTC",1
"30","2018-12-15 05:19:02 UTC",0
"31","2018-12-15 05:19:03 UTC",1
"32","2018-12-15 05:20:12 UTC",1
"33","2018-12-15 05:21:29 UTC",0
"34","2018-12-15 05:22:03 UTC",1
"35","2018-12-15 05:41:57 UTC",1
"36","2018-12-15 05:43:01 UTC",0
"37","2018-12-15 05:43:07 UTC",0
"38","2018-12-15 05:43:11 UTC",0
"39","2018-12-15 05:43:38 UTC",1
"40","2018-12-15 05:43:58 UTC",1
"41","2018-12-15 05:45:05 UTC",1
"42","2018-12-15 05:45:50 UTC",0
"43","2018-12-15 05:46:23 UTC",1
"44","2018-12-15 05:47:09 UTC",0
"45","2018-12-15 05:51:34 UTC",1
"46","2018-12-15 06:03:47 UTC",0
"47","2018-12-15 06:03:50 UTC",0
"48","2018-12-15 06:03:57 UTC",0
"49","2018-12-15 06:04:04 UTC",0
"50","2018-12-15 06:05:09 UTC",1
"51","2018-12-15 06:19:46 UTC",0
"52","2018-12-15 06:20:24 UTC",1
"53","2018-12-15 06:23:48 UTC",0
"54","2018-12-15 06:24:17 UTC",1
"55","2018-12-15 06:24:34 UTC",0
"56","2018-12-15 06:25:20 UTC",1
"57","2018-12-15 06:41:27 UTC",0
"58","2018-12-15 06:42:14 UTC",1
"59","2018-12-15 06:49:11 UTC",0
"60","2018-12-15 06:49:35 UTC",1
"61","2018-12-15 07:00:58 UTC",0
"62","2018-12-15 07:01:35 UTC",1
"63","2018-12-15 07:01:58 UTC",1
"64","2018-12-15 16:27:31 UTC",1
"65","2018-12-15 17:00:48 UTC",0
"66","2018-12-15 17:01:57 UTC",1
"67","2018-12-15 17:08:01 UTC",0
"68","2018-12-15 17:09:11 UTC",1
"69","2018-12-15 17:24:03 UTC",1
"70","2018-12-15 17:24:41 UTC",0
"71","2018-12-15 17:25:13 UTC",1
"72","2018-12-15 17:25:18 UTC",0
"73","2018-12-15 17:25:24 UTC",1
"74","2018-12-15 17:25:26 UTC",1
"75","2018-12-15 21:15:00 UTC",1
"76","2018-12-15 21:36:34 UTC",0
"77","2018-12-15 21:37:14 UTC",1
"78","2018-12-15 21:43:03 UTC",0
"79","2018-12-15 21:43:29 UTC",1
"80","2018-12-15 21:46:33 UTC",1
"81","2018-12-15 21:49:48 UTC",0
"82","2018-12-15 21:50:26 UTC",1
"83","2018-12-15 21:54:59 UTC",0
"84","2018-12-15 21:55:33 UTC",1
"85","2018-12-15 21:56:51 UTC",0
"86","2018-12-15 21:57:09 UTC",1
"87","2018-12-15 21:57:30 UTC",1
"88","2018-12-15 22:04:32 UTC",0
"89","2018-12-15 22:05:08 UTC",0
"90","2018-12-15 22:05:40 UTC",1
"91","2018-12-15 22:05:57 UTC",1
"92","2018-12-15 22:07:28 UTC",0
"93","2018-12-15 22:07:30 UTC",1
"94","2018-12-15 22:08:38 UTC",1
"95","2018-12-15 22:46:11 UTC",0
"96","2018-12-15 22:46:52 UTC",1
"97","2018-12-15 22:51:50 UTC",0
"98","2018-12-15 22:51:55 UTC",0
"99","2018-12-15 22:52:41 UTC",1
"100","2018-12-15 22:53:11 UTC",1
"101","2018-12-15 23:06:54 UTC",0
"102","2018-12-15 23:08:48 UTC",1
"103","2018-12-15 23:09:17 UTC",1
"104","2018-12-15 23:10:42 UTC",0
"105","2018-12-15 23:11:33 UTC",1
"106","2018-12-15 23:17:23 UTC",0
"107","2018-12-15 23:17:43 UTC",1
"108","2018-12-15 23:18:11 UTC",1
"109","2018-12-15 23:32:45 UTC",0
"110","2018-12-15 23:33:41 UTC",1
"111","2018-12-15 23:34:42 UTC",1
"112","2018-12-15 23:36:15 UTC",0
"113","2018-12-15 23:36:52 UTC",1
"114","2018-12-15 23:51:47 UTC",1
"115","2018-12-15 23:57:30 UTC",1
"116","2018-12-16 01:13:51 UTC",0
"117","2018-12-16 01:15:00 UTC",1
"118","2018-12-16 01:15:28 UTC",1
"119","2018-12-16 01:29:49 UTC",0
"120","2018-12-16 01:33:54 UTC",1
"121","2018-12-16 01:33:59 UTC",1
"122","2018-12-16 02:22:06 UTC",0
"123","2018-12-16 02:23:14 UTC",1
"124","2018-12-16 02:23:32 UTC",1
"125","2018-12-16 02:26:37 UTC",0
"126","2018-12-16 02:26:46 UTC",1
"127","2018-12-16 02:27:54 UTC",1
"128","2018-12-16 02:37:38 UTC",0
